"treatment","season","yield_tha"
"Control","2022A",12.9404491341991
"Control","2022B",15.0693335830836
"NK","2022B",16.4803853553854
"NPK (30K)","2022B",16.8242744487862
"NPK (30N)","2022B",16.8311660437776
"PK","2022B",17.3210374531129
"NP","2022B",17.7296519586183
"NPK (90N)","2022B",18.5086636096746
"PK","2022A",18.6379329004329
"NPK 17*3_repA","2022B",18.7258963841392
"NPK 17*3_repB","2022B",18.8478284294322
"NPK (30P)","2022B",18.9936904290678
"NPK (80K)","2022B",19.4067677645484
"NPK (50P)","2022B",19.9342224442224
"NPK (60N)","2022B",20.6700964042945
"Increased NPK","2022B",20.9497458496838
"NPK (40P)","2022B",21.0118477041826
"NPK (60K)","2022B",21.1239038045288
"NK","2022A",21.884117965368
"NP","2022A",22.7555735930736
"NPK (30N)","2022A",23.0982683982684
"NPK (30K)","2022A",24.0292207792208
"NPK 17*3","2022A",25.0758793290043
"NPK (80K)","2022A",25.7804653679654
"NPK (60K)","2022A",26.0557359307359
"NPK (30P)","2022A",26.2834145021645
"NPK (60N)","2022A",26.934145021645
"NPK (50P)","2022A",27.016829004329
"NPK (40P)","2022A",27.1885281385281
"NPK (90N)","2022A",29.3089826839827
"Increased NPK","2022A",30.7515151515152
