Date,Point_1,Point_2,Point_3,Point_4,Point_5
1/1/1981,5.405879021,3.121382952,4.07623291,3.793529987,3.457539558
1/2/1981,9.62922287,7.55315733,9.863714218,9.179626465,8.366593361
1/3/1981,5.405879021,4.240368843,5.537523746,5.153474808,4.697035313
1/4/1981,3.979327917,3.121382952,4.07623291,3.793529987,3.457539558
1/5/1981,0,0,0,0,0
1/6/1981,0,0,0,0,0
1/7/1981,0,0,0,0,0
1/8/1981,5.511484623,4.263975143,5.631086349,5.247349262,4.770061016
1/9/1981,6.573330402,5.085474968,6.715974808,6.258306503,5.689063549
1/10/1981,9.607175827,7.432617664,9.815654755,9.146756172,8.314785957
1/11/1981,0,0,0,0,0
1/12/1981,0,0,0,0,0
1/13/1981,0,0,0,0,0
1/14/1981,0,0,0,0,0
1/15/1981,0,0,0,0,0
1/16/1981,0,0,0,0,0
1/17/1981,0,0,0,0,0
1/18/1981,0,0,0,0,0
1/19/1981,14.83985806,13.45755291,18.59886742,18.66934395,17.9534893
1/20/1981,10.40177059,9.432864189,0,0,0
1/21/1981,13.3165102,9.739333153,13.56086445,12.52240753,11.37627983
1/22/1981,18.7518177,13.71456909,19.09591103,17.63359261,16.01965904
1/23/1981,7.88119936,5.764094353,8.025817871,7.411220551,6.732899666
1/24/1981,14.22239399,10.40187263,14.48337269,13.37427235,12.15017605
1/25/1981,0,0,0,0,0
1/26/1981,4.05240202,0,4.073883533,3.746458292,3.477695942
1/27/1981,0,0,0,0,0
1/28/1981,0,0,0,0,0
1/29/1981,0,0,0,0,0
1/30/1981,6.81148386,6.471348286,6.8475914,6.297238827,5.845489025
1/31/1981,9.311902046,8.846905708,9.361262321,8.60888195,7.991300583
2/1/1981,2.722905159,2.994262695,2.765109539,2.817908525,2.755280256
2/2/1981,0,0,0,0,0
2/3/1981,1.954906344,2.149727106,1.9852072,2.023113966,1.97815001
2/4/1981,0,0,0,0,0
2/5/1981,2.007269859,2.207309246,2.038382292,2.077304602,2.031136274
2/6/1981,5.552451134,6.059819698,5.499199867,5.606061935,5.625879765
2/7/1981,0,0,0,0,0
2/8/1981,0,0,0,0,0
2/9/1981,0,0,0,0,0
2/10/1981,10.22576427,11.16016769,10.12769413,10.32449627,10.36099529
2/11/1981,4.858748913,5.707093239,4.821022987,4.854948997,4.864398479
2/12/1981,4.924406528,5.78421545,4.886171341,4.920556068,4.930132866
2/13/1981,2.101080656,2.467932224,2.084766865,2.099437714,2.103523731
2/14/1981,0,0,0,0,0
2/15/1981,2.910871983,3.419114351,2.888270378,2.908595562,2.914256811
2/16/1981,9.39632988,9.600392342,10.04680061,9.807344437,9.606481552
2/17/1981,30.7187748,31.38589859,32.84531403,32.06247711,31.40581131
2/18/1981,5.104737282,5.215598583,5.458118439,5.328029633,5.218906879
2/19/1981,9.622202873,9.831170082,10.28831005,10.04309845,9.837407112
2/20/1981,3.071877003,0,0,0,0
2/21/1981,0,0,0,0,0
2/22/1981,0,0,0,0,0
2/23/1981,0,0,0,0,0
2/24/1981,0,0,0,0,0
2/25/1981,15.66672134,14.47853184,15.71503448,15.21109867,15.03195953
2/26/1981,8.896945953,0,9.017923355,0,0
2/27/1981,0,0,0,0,0
2/28/1981,0,0,0,0,0
3/1/1981,10.1075325,8.896318436,9.719121933,8.51639843,8.731105804
3/2/1981,0,0,0,0,0
3/3/1981,0,0,0,0,0
3/4/1981,0,0,0,0,0
3/5/1981,0,0,0,0,0
3/6/1981,13.11519146,10.31168747,12.38802147,10.78786659,11.24940109
3/7/1981,0,0,0,0,0
3/8/1981,18.76200867,14.751441,17.72175026,15.43264103,16.09288979
3/9/1981,0,0,0,0,0
3/10/1981,19.3995533,15.25270367,18.32394791,15.95705128,16.63973808
3/11/1981,23.7524395,22.36372185,22.52106667,19.34091377,20.08253098
3/12/1981,0,0,0,0,0
