Date,Point_1,Point_2,Point_3,Point_4,Point_5
1/1/1981,16.845322,17.444144,16.845322,16.845322,17.444144
1/2/1981,17.813488,18.411548,17.813488,17.813488,18.411548
1/3/1981,16.885068,17.485964,16.885068,16.885068,17.485964
1/4/1981,21.929942,22.51282,21.929942,21.929942,22.51282
1/5/1981,19.376682,19.972416,19.376682,19.376682,19.972416
1/6/1981,17.641944,18.242142,17.641944,17.641944,18.242142
1/7/1981,20.88825,21.478876,20.88825,20.88825,21.478876
1/8/1981,20.261852,20.854146,20.261852,20.261852,20.854146
1/9/1981,17.213522,17.819096,17.213522,17.213522,17.819096
1/10/1981,19.918164,20.512524,19.918164,19.918164,20.512524
1/11/1981,23.580882,24.160324,23.580882,23.580882,24.160324
1/12/1981,21.821908,22.411134,21.821908,21.821908,22.411134
1/13/1981,20.685764,21.277138,20.685764,20.685764,21.277138
1/14/1981,20.887308,21.47715,20.887308,20.887308,21.47715
1/15/1981,19.573622,20.171526,19.573622,19.573622,20.171526
1/16/1981,19.886078,20.480528,19.886078,19.886078,20.480528
1/17/1981,21.09031,21.67935,21.09031,21.09031,21.67935
1/18/1981,22.572422,23.154976,22.572422,22.572422,23.154976
1/19/1981,21.90344,22.491564,21.90344,21.90344,22.491564
1/20/1981,19.26611,19.862188,19.26611,19.26611,19.862188
1/21/1981,19.670018,20.26378,19.670018,19.670018,20.26378
1/22/1981,16.725167,17.329564,16.725167,16.725167,17.329564
1/23/1981,20.291356,20.879716,20.291356,20.291356,20.879716
1/24/1981,19.845304,20.434634,19.845304,19.845304,20.434634
1/25/1981,18.65537,19.24855,18.65537,18.65537,19.24855
1/26/1981,18.857832,19.449474,18.857832,18.857832,19.449474
1/27/1981,17.423476,18.01842,17.423476,17.423476,18.01842
1/28/1981,20.612516,21.194374,20.612516,20.612516,21.194374
1/29/1981,18.538774,19.127898,18.538774,18.538774,19.127898
1/30/1981,21.27514,21.851436,21.27514,21.27514,21.851436
1/31/1981,17.851298,18.44008,17.851298,17.851298,18.44008
2/1/1981,16.529209,17.12235,16.529209,16.529209,17.12235
2/2/1981,18.865534,19.448886,18.865534,18.865534,19.448886
2/3/1981,18.816382,19.393944,18.816382,18.816382,19.393944
2/4/1981,20.424396,20.994984,20.424396,20.424396,20.994984
2/5/1981,21.14481,21.711858,21.14481,21.14481,21.711858
2/6/1981,19.109656,19.68233,19.109656,19.109656,19.68233
