Date,Point_1,Point_2,Point_3,Point_4,Point_5
1/1/1981,19.95617065,20.0125061,19.95617065,19.95617065,20.0125061
1/2/1981,19.61708984,19.66521606,19.61708984,19.61708984,19.66521606
1/3/1981,19.28511963,19.32528076,19.28511963,19.28511963,19.32528076
1/4/1981,20.80257568,20.88921509,20.80257568,20.80257568,20.88921509
1/5/1981,20.0725647,20.13894043,20.0725647,20.0725647,20.13894043
1/6/1981,19.90618286,19.96804199,19.90618286,19.90618286,19.96804199
1/7/1981,20.69017944,20.77855835,20.69017944,20.69017944,20.77855835
1/8/1981,20.39376221,20.47524414,20.39376221,20.39376221,20.47524414
1/9/1981,20.312677,20.39229736,20.312677,20.312677,20.39229736
1/10/1981,20.8336731,20.93169556,20.8336731,20.8336731,20.93169556
1/11/1981,21.48183594,21.60109863,21.48183594,21.48183594,21.60109863
1/12/1981,21.22808228,21.34179077,21.22808228,21.22808228,21.34179077
1/13/1981,21.38866577,21.50795898,21.38866577,21.38866577,21.50795898
1/14/1981,21.56847534,21.69561157,21.56847534,21.56847534,21.69561157
1/15/1981,20.99483643,21.10656128,20.99483643,20.99483643,21.10656128
1/16/1981,21.21938477,21.33867798,21.21938477,21.21938477,21.33867798
1/17/1981,21.26415405,21.38710938,21.26415405,21.26415405,21.38710938
1/18/1981,22.00628052,22.15548096,22.00628052,22.00628052,22.15548096
1/19/1981,21.96575317,22.11599121,21.96575317,21.96575317,22.11599121
1/20/1981,21.67855225,21.82052002,21.67855225,21.67855225,21.82052002
1/21/1981,21.54558716,21.68575439,21.54558716,21.54558716,21.68575439
1/22/1981,19.91283569,20.00484619,19.91283569,19.91283569,20.00484619
1/23/1981,21.12542114,21.25551758,21.12542114,21.12542114,21.25551758
1/24/1981,19.84176025,19.93551025,19.84176025,19.84176025,19.93551025
1/25/1981,20.39830933,20.51156006,20.39830933,20.39830933,20.51156006
1/26/1981,20.29378662,20.40609131,20.29378662,20.29378662,20.40609131
1/27/1981,19.26809082,19.35039673,19.26809082,19.26809082,19.35039673
1/28/1981,20.20137939,20.31478271,20.20137939,20.20137939,20.31478271
1/29/1981,20.56600342,20.69295654,20.56600342,20.56600342,20.69295654
1/30/1981,20.03789673,20.15020142,20.03789673,20.03789673,20.15020142
1/31/1981,19.8409668,19.9494873,19.8409668,19.8409668,19.9494873
2/1/1981,19.80831299,19.91915283,19.80831299,19.80831299,19.91915283
2/2/1981,20.62786255,20.7663208,20.62786255,20.62786255,20.7663208
2/3/1981,20.18505249,20.31148682,20.18505249,20.18505249,20.31148682
2/4/1981,21.28893433,21.45174561,21.28893433,21.28893433,21.45174561
2/5/1981,21.44109497,21.61193237,21.44109497,21.44109497,21.61193237
2/6/1981,21.37420044,21.54360352,21.37420044,21.37420044,21.54360352
2/7/1981,22.47176514,22.67839966,22.47176514,22.47176514,22.67839966
2/8/1981,21.41762695,21.59337769,21.41762695,21.41762695,21.59337769
2/9/1981,22.10213623,22.30129395,22.10213623,22.10213623,22.30129395
2/10/1981,20.68340454,20.84206543,20.68340454,20.68340454,20.84206543
2/11/1981,20.5960022,20.75362549,20.5960022,20.5960022,20.75362549
2/12/1981,20.94005737,21.11165771,20.94005737,20.94005737,21.11165771
2/13/1981,20.69338379,20.85967407,20.69338379,20.69338379,20.85967407
2/14/1981,22.61757813,22.8449646,22.61757813,22.61757813,22.8449646
2/15/1981,20.10418091,20.25725708,20.10418091,20.10418091,20.25725708
2/16/1981,19.81063232,19.95629272,19.81063232,19.81063232,19.95629272
2/17/1981,18.25686035,18.35784302,18.25686035,18.25686035,18.35784302
2/18/1981,18.83760986,18.95821533,18.83760986,18.83760986,18.95821533
2/19/1981,19.67928467,19.82918701,19.67928467,19.67928467,19.82918701
2/20/1981,21.32622681,21.52871094,21.32622681,21.32622681,21.52871094
2/21/1981,21.09456787,21.29320679,21.09456787,21.09456787,21.29320679
2/22/1981,22.0236145,22.25264893,22.0236145,22.0236145,22.25264893
2/23/1981,22.76574097,23.02102051,22.76574097,22.76574097,23.02102051
2/24/1981,20.64544067,20.83684692,20.64544067,20.64544067,20.83684692
2/25/1981,20.18706665,20.36870728,20.18706665,20.18706665,20.36870728
2/26/1981,20.40529785,20.59533081,20.40529785,20.40529785,20.59533081
2/27/1981,21.14953003,21.36425171,21.14953003,21.14953003,21.36425171
2/28/1981,22.00542603,22.24990234,22.00542603,22.00542603,22.24990234
3/1/1981,20.98052368,21.19603882,20.98052368,20.98052368,21.19603882
3/2/1981,20.72750244,20.93853149,20.72750244,20.72750244,20.93853149
3/3/1981,20.27047119,20.46904907,20.27047119,20.27047119,20.46904907
3/4/1981,20.63164673,20.84411011,20.63164673,20.63164673,20.84411011
3/5/1981,21.91613159,22.16991577,21.91613159,21.91613159,22.16991577
3/6/1981,20.56136475,20.77660522,20.56136475,20.56136475,20.77660522
3/7/1981,20.5458313,20.76329956,20.5458313,20.5458313,20.76329956
3/8/1981,20.07457886,20.2791687,20.07457886,20.07457886,20.2791687
3/9/1981,19.96660767,20.17058716,19.96660767,19.96660767,20.17058716
3/10/1981,20.24672852,20.4626709,20.24672852,20.24672852,20.4626709
3/11/1981,19.9397522,20.14891968,19.9397522,19.9397522,20.14891968
3/12/1981,19.4621521,19.65929565,19.4621521,19.4621521,19.65929565
3/13/1981,19.89367065,20.10576782,19.89367065,19.89367065,20.10576782
3/14/1981,19.15307007,19.34502563,19.15307007,19.15307007,19.34502563
